Respondent ID;Gender;Age;Nationality;Nationality_4_TEXT;Living;HHSize;StreamingUsage;Device;UnaidedbrandrecallDisney;WTP;Pastime;Entertainment;Recommendation;ZStreamingUsage;ZEntertainment;ZRecommendation;ZPastime
1;1;17;2; ;1;5;5;4;0;15;4;6;3,5;1,50446;-1,238509641;-0,377507563;0,160494004
2;2;17;2; ;3;1;5;3;1;20;5;5;4,5;1,50446;0,693786233;0,493663736;0,808642864
3;1;19;4;Italian;2;16;1;1;0;20;2;5,5;4;-1,23897;0,693786233;0,058078087;-1,135803718
4;2;17;3; ;1;5;2;4;0;30;3;5,5;4,5;-0,55311;0,88701582;0,493663736;-0,487654857
5;2;18;3; ;1;4;3;1;0;15;6;6,5;5,25;0,13275;-1,238509641;1,147042209;1,456791725
6;1;18;2; ;1;6;4;1;0;25;4;7;4;0,8186;1,466704582;0,058078087;0,160494004
7;2;21;4;Kazakhstani;3;2;3;3;0;15;4;5;2,5;0,13275;0,693786233;-1,248678861;0,160494004
8;2;19;2; ;1;5;1;3;0;20;7;7;5;-1,23897;-1,818198403;0,929249385;2,104940585
9;1;21;4;Austrian;2;6;5;1;1;15;3;6;3,5;1,50446;-1,238509641;-0,377507563;-0,487654857
10;2;18;2; ;3;1;2;4;1;14,99;3;5,5;4,25;-0,55311;0,88701582;0,275870911;-0,487654857
11;2;19;2; ;3;1;2;4;0;14;3;5,5;2,5;-0,55311;0,88701582;-1,248678861;-0,487654857
12;2;18;4;French;3;1;7;4;0;15;3;4,5;1,75;2,87617;0,307327058;-1,902057334;-0,487654857
13;2;18;4;Spanish;3;1;5;1;0;15;2;4,5;2;1,50446;-0,658820879;-1,68426451;-1,135803718
14;1;19;4;Russian;1;3;5;4;0;15;3;6;3,75;1,50446;0,693786233;-0,159714738;-0,487654857
15;2;26;4;Italian;3;1;1;3;0;15;4;5;3,75;-1,23897;-0,658820879;-0,159714738;0,160494004
16;2;29;2; ;3;2;2;2;0;15;3;6;5;-0,55311;-1,238509641;0,929249385;-0,487654857
17;2;18;4;Polish;1;3;2;2;0;15;2;6;3,25;-0,55311;-1,238509641;-0,595300387;-1,135803718
18;2;18;4;Polish;1;3;2;2;0;15;2;6;3,25;-0,55311;-1,238509641;-0,595300387;-1,135803718
19;2;17;2; ;3;1;5;3;1;20;5;5;4,5;1,50446;0,693786233;0,493663736;0,808642864
20;1;19;4;Italian;2;16;1;1;0;20;2;5,5;4;-1,23897;0,693786233;0,058078087;-1,135803718
21;2;17;3; ;1;5;2;4;0;30;3;5,5;4,5;-0,55311;0,88701582;0,493663736;-0,487654857
22;2;18;3; ;1;4;3;1;0;15;6;6,5;5,25;0,13275;-1,238509641;1,147042209;1,456791725
23;1;18;2; ;1;6;4;1;0;25;4;7;4;0,8186;1,466704582;0,058078087;0,160494004
24;2;21;4;Kazakhstani;3;2;3;3;0;15;4;5;2,5;0,13275;0,693786233;-1,248678861;0,160494004
25;2;19;2; ;1;5;1;3;0;20;7;7;5;-1,23897;-1,818198403;0,929249385;2,104940585
